timestamp,role,action,price,signal_strength,overall_signal,ind_rsi_signal,ind_macd_signal,ind_ma_signal,ind_bb_signal
2024-04-13 00:00:00+00:00,ENTRY,BUY,63821.47265625,50,BUY,HOLD,SELL,BUY,BUY
2024-04-17 00:00:00+00:00,EXIT,STOP_LOSS,61276.69140625,50,BUY,HOLD,SELL,BUY,BUY
2024-05-25 00:00:00+00:00,ENTRY,BUY,69265.9453125,50,BUY,HOLD,BUY,BUY,HOLD
2024-06-13 00:00:00+00:00,EXIT,STOP_LOSS,66756.3984375,0,HOLD,HOLD,SELL,BUY,HOLD
2024-06-18 00:00:00+00:00,ENTRY,BUY,65140.74609375,50,BUY,BUY,SELL,BUY,HOLD
2024-06-23 00:00:00+00:00,EXIT,STOP_LOSS,63180.796875,50,BUY,BUY,SELL,BUY,HOLD
2024-06-24 00:00:00+00:00,ENTRY,BUY,60277.4140625,75,BUY,BUY,SELL,BUY,BUY
2024-06-25 00:00:00+00:00,EXIT,SIGNAL,61804.640625,50,SELL,BUY,SELL,SELL,HOLD
2024-07-28 00:00:00+00:00,ENTRY,BUY,68255.8671875,50,BUY,SELL,BUY,BUY,HOLD
2024-07-30 00:00:00+00:00,EXIT,STOP_LOSS,66201.015625,50,BUY,HOLD,BUY,BUY,HOLD
2024-08-02 00:00:00+00:00,ENTRY,BUY,61415.06640625,50,BUY,HOLD,SELL,BUY,BUY
2024-08-04 00:00:00+00:00,EXIT,STOP_LOSS,58116.9765625,75,BUY,BUY,SELL,BUY,BUY
2024-08-05 00:00:00+00:00,ENTRY,BUY,53991.45703125,75,BUY,BUY,SELL,BUY,BUY
2024-08-14 00:00:00+00:00,EXIT,SIGNAL,58737.26953125,50,SELL,HOLD,SELL,SELL,HOLD
2024-09-25 00:00:00+00:00,ENTRY,BUY,63143.14453125,50,BUY,SELL,BUY,BUY,HOLD
2024-10-01 00:00:00+00:00,EXIT,STOP_LOSS,60837.0078125,0,HOLD,HOLD,SELL,BUY,HOLD
2024-10-10 00:00:00+00:00,ENTRY,BUY,60274.5,50,BUY,BUY,SELL,BUY,HOLD
2024-10-29 00:00:00+00:00,EXIT,TAKE_PROFIT,72720.4921875,50,BUY,HOLD,BUY,BUY,SELL
2024-10-30 00:00:00+00:00,ENTRY,BUY,72339.5390625,50,BUY,HOLD,BUY,BUY,HOLD
2024-11-01 00:00:00+00:00,EXIT,STOP_LOSS,69482.46875,50,BUY,HOLD,BUY,BUY,HOLD
2024-11-02 00:00:00+00:00,ENTRY,BUY,69289.2734375,50,BUY,HOLD,BUY,BUY,HOLD
2024-11-06 00:00:00+00:00,EXIT,SIGNAL,75639.078125,50,SELL,SELL,BUY,BUY,SELL
2024-11-07 00:00:00+00:00,ENTRY,BUY,75904.859375,50,BUY,HOLD,BUY,BUY,SELL
2024-11-08 00:00:00+00:00,EXIT,SIGNAL,76545.4765625,50,SELL,SELL,BUY,BUY,SELL
2024-11-09 00:00:00+00:00,ENTRY,BUY,76778.8671875,50,BUY,SELL,BUY,BUY,HOLD
2024-11-10 00:00:00+00:00,EXIT,SIGNAL,80474.1875,50,SELL,SELL,BUY,BUY,SELL
2024-11-14 00:00:00+00:00,ENTRY,BUY,87250.4296875,50,BUY,SELL,BUY,BUY,HOLD
2024-12-15 00:00:00+00:00,EXIT,SIGNAL,104298.6953125,50,SELL,HOLD,SELL,BUY,SELL
2024-12-16 00:00:00+00:00,ENTRY,BUY,106029.71875,50,BUY,HOLD,BUY,BUY,SELL
2024-12-18 00:00:00+00:00,EXIT,STOP_LOSS,100041.5390625,0,HOLD,HOLD,SELL,BUY,HOLD
